score_range,count,percentage
0-9,1,0.23
10-19,8,1.86
20-29,10,2.32
30-39,12,2.78
40-49,24,5.57
50-59,75,17.40
60-69,125,29.00
70-79,82,19.03
80-89,60,13.92
90-99,23,5.34
100,11,2.55
