date,new_enrollments,completed_assessments,cumulative_enrollments,cumulative_completed
2026-02-02,98,93,98,93
2026-02-03,51,47,149,140
2026-02-04,47,46,196,186
2026-02-05,37,36,233,222
2026-02-06,43,43,276,265
2026-02-07,38,38,314,303
2026-02-08,56,56,370,359
2026-02-09,63,62,433,421
